re,im
-0.555794812424041,25721747525032228e-33
-1.4017601177514234,1.9703612777910613
-1.8377213863664532,-386526951189307e-31
-1.4017601177514285,-1.9703612777910682
-2.709969759397751,-8153406946099011e-31
-2.0870639384777494,-2.520257179708333
-2.0870639384777423,2.520257179708327
-3.1775964876450327,15820740418849602e-33
-2.8229163135316275,-2.784470033368259
-2.822916313531617,2.7844700333682666
-2.0562017878321064,-4.933252888079733
-2.0562017878321277,4.933252888079756
-3.3114514848325993,11115333160218065e-31
