re,im
-0.5557948121504372,8573915833235963e-33
-1.8377213863509203,9373668213440291e-32
-2.087063938485558,2.520257179716421
-2.0870639384855614,-2.520257179716421
-2.7099697593905,-8153158123821918e-31
-3.3114514848307213,14143197488733788e-31
-1.4017601177736725,1.9703612777037358
-1.4017601177736707,-1.9703612777037363
-3.874227930741736,16925260908555238e-31
-3.843348607377275,-28346101099705026e-31
-3.1775964876302862,-1477678354979636e-30
-4.688124083118471,4512221308850938e-31
-4.332045461419524,-3018852642934503e-30
-4.330940017744643,-2069018485431032e-30
-2.8229163135367656,-2.784470033370272
-2.822916313536771,2.7844700333702646
-4.7256150832290125,-28099262520583217e-31
-3.349015135194118,2.9249101430463873
-5.047372931860039,-8790440486078165e-30
-3.349015135194125,-2.9249101430464015
-5.0207041793875415,-15018693265129837e-30
-5.601640828389461,-16088240421292534e-31
-3.855280536260561,3.0151311608065763
-3.8552805362605924,-3.015131160806611
-4.335593103734166,3.063503508520757
-4.335593103734153,-3.063503508520749
-5.303757452452506,-8595651838355777e-30
-3.8858591560384834,-3.017506554715109
-3.8858591560384665,3.01750655471508
-3.231040030625349,2.874093353418638
-3.2310400306253526,-2.874093353418636
-5.482912645564502,-13137106974510879e-30
-5.211463620338126,-12537151188079784e-30
-5.743973059960754,14898048740800334e-30
-5.661378807131159,-12125713146826214e-30
-5.396578858521074,-45236267666226746e-31
-4.886590159585316,27494793602151594e-32
-4.336226513885021,-3.0657082985962942
-4.3362265138850224,3.065708298596305
-4.690256309419816,-3.0880191651521565
-4.690256309419821,3.088019165152158
-5.0483312286806825,3.104795105745559
-5.048331228680717,-3.1047951057455805
-5.304381244538384,3.112632126119775
-5.3043812445383605,-3.1126321261197587
-5.021971459631181,3.101604757293186
-5.0219714596312155,-3.1016047572932086
-5.212470012851814,-3.1063810936119385
-5.212470012851834,3.1063810936119376
-4.72808550300553,-3.08732888569921
-4.728085503005518,3.0873288856992014
-2.0562017878512675,-4.933252888031715
-2.05620178785127,4.933252888031707
-5.397135160437795,-3.1141235728274306
-5.39713516043779,3.1141235728274412
-2.443561471688096,5.381530208466392
-2.4435614716881147,-5.381530208466408
-4.8889099791984405,3.08727873129722
-4.88890997919844,-3.087278731297255
-2.9988539903607303,-5.714598755898648
-2.9988539903607063,5.714598755898647
-3.43653821450566,-5.892446806771051
-3.4365382145056755,5.892446806771059
-4.349049381218862,-6.1293870005637165
-4.349049381218812,6.129387000563685
-3.88822258526633,6.039187464935008
-3.8882225852663423,-6.039187464935054
-3.3516785096755513,5.8121920927421495
-3.351678509675564,-5.812192092742181
-3.917924546091625,6.043727786206332
-3.9179245460916676,-6.043727786206348
-4.348397929590623,6.133369109323952
-4.348397929590606,-6.133369109323919
-5.483436569389262,-3.1159834029895594
-5.483436569389252,3.1159834029895657
-2.7223695513217945,8.38886617328778
-2.722369551321803,-8.388866173287783
-2.442877868971488,8.029737856408623
-2.4428778689714883,-8.029737856408557
-3.1574626136134287,8.71942634035865
-3.157462613613414,-8.719426340358677
-3.4855991642279096,8.814717292012388
-3.485599164227847,-8.814717292012357
-5.8438182255157844,4898495489532481e-30
-5.8743600035199535,23368475607035714e-31
-3.538627901723345,-8.905114459205981
-3.5386279017232987,8.905114459206125
