re,im
-1.8377214230165908,5430201191800799e-23
-0.5557947753987358,-1416138656053701e-21
-2.087063735669384,2.5202572173340796
-2.8229159055953055,-2.7844692267960336
-2.0870639339532735,-2.5202576670818297
-2.709969174744386,-5664642861261175e-22
-2.0562014484009676,4.9332526852161696
-2.822917166045955,2.784468797774919
-3.3114515725120586,-2154557022166477e-23
-2.0562037709528633,-4.933253723445036
-1.4017533678976513,-1.9703611976196644
-3.177597000675446,-19621872667874105e-22
-1.4017642173777844,1.9703736021882652
