re,im
-0.498883945392156,-0.507344091023276
0.08002161893164059,-0.2924010935358792
-0.590704970169912,-0.5566203568345687
0.036159978986754965,-0.3036856264500921
0.08002161957053111,-0.2924010930816482
-0.4097754053877865,-0.46382056046095066
0.06348279467070879,-0.2965758647542215
0.06348279440475145,-0.2965758649447405
-0.24497452392987318,-0.3940614793479362
0.03615997843410721,-0.30368562662252485
-0.0015898290511076939,-0.313957646885959
-0.0492747727707017,-0.32770732568433725
-0.6840198402817653,-0.6113139750267902
-0.049274772691505125,-0.3277073256848864
-0.0015898296842384039,-0.3139576470108558
-0.32470180848946295,-0.4261191599502321
-0.7778242196342783,-0.6708654751688976
-0.1062689245285574,-0.3453305374806193
-0.17180697847248175,-0.36728598498098974
-0.10626892426064297,-0.3453305375135567
-0.8713997363398224,-0.7345799781616473
-0.9643313728950799,-0.8017300654137511
