re,im
0.03615997791463861,-0.3036856267020718
0.08002161846853605,-0.2924010934105184
-0.1718069794630277,-0.3672859850483018
-0.0015898301085345422,-0.31395764708337576
0.06348279358185724,-0.29657586505247785
-0.049274773740005356,-0.3277073258293631
-0.10626892532358452,-0.34533053762203486
-0.49888394616200965,-0.5073440910660335
-0.6840198402173597,-0.6113139747847555
-0.590704970812582,-0.5566203568707773
-0.32470180913320407,-0.42611915969219716
-0.24497452493025176,-0.39406147943292763
-1.2389559481080101,-1.0176043672921733
-0.40977540622817665,-0.46382056052683546
-0.9643313726266923,-0.8017300652397755
-1.1479331035621143,-0.9437463094690538
-1.3299570525416924,-1.0929020406658714
-1.608961583107971,-1.3258346474665694
-1.5141890582866744,-1.2470995856018454
-0.7778242197975054,-0.6708654750488598
-1.0564799945913876,-0.8716414866392534
-1.421474859814302,-1.1694377434964467
-1.706918024153835,-1.4055998201888469
-0.8713997366586903,-0.7345799782291629
-1.8095903645723446,-1.4862639551291257
-1.9191527460385562,-1.5673778395014837
-2.038752617502134,-1.6475785343626856
-1.8970998376441208,1.5838208118348813
-1.8816361568181552,1.593610391501253
-1.891289121806141,1.5874398351207102
-1.8682003307931896,1.6025414350127072
-2.17259922282361,-1.723031167665193
-1.6905047728354374,1.7729104145972083
-1.6603097506306703,1.81653857049963
-1.6315014196796713,1.8648725276551714
-1.8066780520982149,1.6491804667880705
-1.8304859327144039,1.6299282942436049
-2.323654958174401,-1.7843386445256468
-1.5144957962895753,2.2147541990459376
-1.851089555394547,1.6145246751192488
-2.484597454249159,-1.8175241785800136
-1.780095496302662,1.6727364239985492
-1.5267852060439722,2.1528370342203442
-1.7211694570847673,1.7343686542610692
-1.7513359028850959,1.7010240089337834
-1.6048382482397536,1.917302659301005
-1.5418311933845577,2.09154341536803
-1.55982382190065,2.0314069253829943
-1.5808503291104903,1.973077813293955
-1.5047176071725528,2.2768762457659393
-1.4971842796409882,2.3388858974238413
-2.6359868376399658,-1.8207517804991327
-1.491630537677084,2.400549532780073
-2.767509502458707,-1.8075398045221542
-1.4878049421274906,2.461699643965713
